id,room,temperature,created_at
1,A,22.52,2025-01-01 00:00:00
2,B,20.17,2025-01-01 00:00:00
3,C,22.87,2025-01-01 00:00:00
4,A,22.33,2025-01-01 00:15:00
5,B,22.54,2025-01-01 00:15:00
6,C,24.56,2025-01-01 00:15:00
7,A,22.7,2025-01-01 00:30:00
8,B,22.37,2025-01-01 00:30:00
9,C,24.02,2025-01-01 00:30:00
10,A,21.03,2025-01-01 00:45:00
11,B,21.32,2025-01-01 00:45:00
12,C,24.28,2025-01-01 00:45:00
13,A,23.04,2025-01-01 01:00:00
14,B,24.53,2025-01-01 01:00:00
15,C,22.33,2025-01-01 01:00:00
16,A,24.25,2025-01-01 01:15:00
17,B,23.52,2025-01-01 01:15:00
18,C,24.84,2025-01-01 01:15:00
19,A,24.21,2025-01-01 01:30:00
20,B,23.82,2025-01-01 01:30:00
21,C,24.61,2025-01-01 01:30:00
22,A,23.9,2025-01-01 01:45:00
23,B,22.72,2025-01-01 01:45:00
24,C,23.37,2025-01-01 01:45:00
25,A,23.88,2025-01-01 02:00:00
26,B,23.34,2025-01-01 02:00:00
27,C,24.52,2025-01-01 02:00:00
28,A,24.79,2025-01-01 02:15:00
29,B,25.13,2025-01-01 02:15:00
30,C,24.39,2025-01-01 02:15:00
31,A,24.15,2025-01-01 02:30:00
32,B,22.97,2025-01-01 02:30:00
33,C,23.61,2025-01-01 02:30:00
34,A,23.06,2025-01-01 02:45:00
35,B,23.5,2025-01-01 02:45:00
36,C,24.67,2025-01-01 02:45:00
37,A,22.04,2025-01-01 03:00:00
38,B,21.65,2025-01-01 03:00:00
39,C,22.14,2025-01-01 03:00:00
40,A,22.44,2025-01-01 03:15:00
41,B,23.67,2025-01-01 03:15:00
42,C,24.34,2025-01-01 03:15:00
43,A,22.44,2025-01-01 03:30:00
44,B,20.15,2025-01-01 03:30:00
45,C,24.98,2025-01-01 03:30:00
46,A,22.61,2025-01-01 03:45:00
47,B,24.93,2025-01-01 03:45:00
48,C,25.46,2025-01-01 03:45:00
49,A,23.42,2025-01-01 04:00:00
50,B,22.09,2025-01-01 04:00:00
51,C,24.49,2025-01-01 04:00:00
52,A,22.88,2025-01-01 04:15:00
53,B,20.76,2025-01-01 04:15:00
54,C,24.57,2025-01-01 04:15:00
55,A,24.86,2025-01-01 04:30:00
56,B,23.28,2025-01-01 04:30:00
57,C,25.16,2025-01-01 04:30:00
58,A,23.4,2025-01-01 04:45:00
59,B,23.51,2025-01-01 04:45:00
60,C,26.62,2025-01-01 04:45:00
61,A,24.8,2025-01-01 05:00:00
62,B,21.26,2025-01-01 05:00:00
63,C,24.73,2025-01-01 05:00:00
64,A,23.71,2025-01-01 05:15:00
65,B,25.38,2025-01-01 05:15:00
66,C,25.27,2025-01-01 05:15:00
67,A,24.85,2025-01-01 05:30:00
68,B,23.55,2025-01-01 05:30:00
69,C,24.66,2025-01-01 05:30:00
70,A,24.77,2025-01-01 05:45:00
71,B,22.9,2025-01-01 05:45:00
72,C,23.18,2025-01-01 05:45:00
73,A,23.78,2025-01-01 06:00:00
74,B,23.36,2025-01-01 06:00:00
75,C,25.83,2025-01-01 06:00:00
76,A,25.39,2025-01-01 06:15:00
77,B,22.06,2025-01-01 06:15:00
78,C,25.59,2025-01-01 06:15:00
79,A,25.97,2025-01-01 06:30:00
80,B,25.15,2025-01-01 06:30:00
81,C,24.24,2025-01-01 06:30:00
82,A,25.23,2025-01-01 06:45:00
83,B,21.65,2025-01-01 06:45:00
84,C,24.68,2025-01-01 06:45:00
85,A,24.35,2025-01-01 07:00:00
86,B,25.1,2025-01-01 07:00:00
87,C,24.63,2025-01-01 07:00:00
88,A,25.21,2025-01-01 07:15:00
89,B,23.32,2025-01-01 07:15:00
90,C,25.95,2025-01-01 07:15:00
91,A,22.8,2025-01-01 07:30:00
92,B,21.59,2025-01-01 07:30:00
93,C,24.39,2025-01-01 07:30:00
94,A,25.95,2025-01-01 07:45:00
95,B,24.64,2025-01-01 07:45:00
96,C,25.62,2025-01-01 07:45:00
97,A,24.11,2025-01-01 08:00:00
98,B,24.79,2025-01-01 08:00:00
99,C,25.59,2025-01-01 08:00:00
100,A,21.84,2025-01-01 08:15:00
101,B,20.2,2025-01-01 08:15:00
102,C,24.6,2025-01-01 08:15:00
103,A,23.48,2025-01-01 08:30:00
104,B,20.94,2025-01-01 08:30:00
105,C,24.86,2025-01-01 08:30:00
106,A,25.51,2025-01-01 08:45:00
107,B,21.38,2025-01-01 08:45:00
108,C,22.57,2025-01-01 08:45:00
109,A,24.97,2025-01-01 09:00:00
110,B,22.14,2025-01-01 09:00:00
111,C,24.65,2025-01-01 09:00:00
112,A,27.04,2025-01-01 09:15:00
113,B,23.94,2025-01-01 09:15:00
114,C,24.05,2025-01-01 09:15:00
115,A,25.2,2025-01-01 09:30:00
116,B,24.38,2025-01-01 09:30:00
117,C,24.91,2025-01-01 09:30:00
118,A,22.95,2025-01-01 09:45:00
119,B,22.98,2025-01-01 09:45:00
120,C,25.18,2025-01-01 09:45:00
121,A,24.58,2025-01-01 10:00:00
122,B,22.1,2025-01-01 10:00:00
123,C,24.83,2025-01-01 10:00:00
124,A,24.27,2025-01-01 10:15:00
125,B,22.88,2025-01-01 10:15:00
126,C,24.05,2025-01-01 10:15:00
127,A,24.65,2025-01-01 10:30:00
128,B,24.85,2025-01-01 10:30:00
129,C,24.46,2025-01-01 10:30:00
130,A,23.11,2025-01-01 10:45:00
131,B,20.3,2025-01-01 10:45:00
132,C,24.12,2025-01-01 10:45:00
133,A,23.29,2025-01-01 11:00:00
134,B,21.12,2025-01-01 11:00:00
135,C,24.05,2025-01-01 11:00:00
136,A,22.17,2025-01-01 11:15:00
137,B,25.85,2025-01-01 11:15:00
138,C,25.16,2025-01-01 11:15:00
139,A,24.53,2025-01-01 11:30:00
140,B,22.59,2025-01-01 11:30:00
141,C,23.72,2025-01-01 11:30:00
142,A,22.88,2025-01-01 11:45:00
143,B,22.32,2025-01-01 11:45:00
144,C,25.56,2025-01-01 11:45:00
145,A,23.77,2025-01-01 12:00:00
